X,Y,Z,Roll,Pitch,Yaw
0,1.345319963,0.030125507,-13.88,-1.36,-0.51
-0.5,0,0,14.8,-1.21,-0.74
-0.75,0,-0.002725569,14.85,-4.34,2.4
-1.25,-0.25,-0.001992065,14.98,-4.37,2.41
-0.75,-0.5,-0.004166804,14.85,-4.33,2.41
-1.25,-1,0.002832326,14.94,-4.32,2.4
-1.75,-0.25,0.000696022,15.09,-4.36,2.42
-1.5,-0.5,-0.001795125,15.02,-4.32,2.41
-2,-0.75,-0.001483608,15.43,-1.23,-0.71
1.961611627,0,0,15.16,-1.19,-0.7
0.971832106,1.636177796,-0.027540516,4.69,-1.91,2.8
-2,1.966952288,0.023486937,-13.53,-4.54,2.67
1.881624706,-1,0,14.96,-4.34,2.44
1.438182898,-1,-0.001498101,14.99,-1.24,-0.68
1.454253805,-0.25,0.004426517,14.98,-4.34,2.46
1.470683913,-0.25,-0.000327253,14.55,-4.34,2.46
1.16372015,-0.25,0.000190608,14.57,-4.36,2.46
1.928891742,0.5,0.002707056,14,-4.37,2.47
-0.75,0.5,0.00203436,13.91,-4.44,2.49
0.066153003,0,0.004121647,13.97,-1.3,-0.64
1.344669791,0.75,0.006603873,13.56,-1.29,-0.64
0,-1,-0.046339394,5.24,-1.9,2.8
1.622511711,0,0,-23.88,-2.17,3.04
0.303129346,1.75,0.037276567,-15.84,-1.57,-0.4
-2,0.75,0.007038298,13.17,-4.5,2.52
-1.25,0.75,-0.002114933,12.85,-1.39,-0.6
-1,1.25,0.00644005,12.73,-4.5,2.54
-0.75,0.5,0.000525072,12.74,-1.44,-0.58
-0.75,0.5,0.00160719,12.42,-4.53,2.56
-0.25,1.279356009,-0.004229284,12.86,-1.42,-0.58
-1,-0.25,0.00181555,12.55,-1.37,-0.59
-1,0.5,-0.006411768,12.82,-1.42,-0.58
1.321624187,0.850444304,-0.004586459,13.65,-4.5,2.55
1.941003545,1.235750489,-0.0463218,5.12,-1.82,2.8
-0.25,1.314045713,0.038505231,-15.47,-4.76,2.77
-0.25,0.5,-0.000318514,13.66,-1.3,-0.59
0.25,0,-0.002447068,13.78,-1.26,-0.59
-0.5,0.5,-0.002052036,13.56,-1.21,-0.6
0,0.25,0.00085317,13.75,-1.22,-0.6
-0.25,0.25,-0.002172008,13.55,-1.21,-0.6
0.25,-0.25,0.004208774,13.6,-1.24,-0.59
0.25,-0.25,-0.000546586,13.47,-4.32,2.54
